research,evaluator,criteria,middle_rating,lower_CI,upper_CI,confidence_level,row_created_date
Universal Basic Income: Short-Term Results from a Long-Term Experiment in Kenya,Evaluator 2,real_world,87.0,74.0,98.0,,2025-12-29T17:15:13
Water Treatment and Child Mortality: A Meta-analysis and Cost-effectiveness Analysis,Evaluator 2,adv_knowledge,65.0,45.0,85.0,,2025-12-29T17:15:13
Water Treatment and Child Mortality: A Meta-analysis and Cost-effectiveness Analysis,Evaluator 2,gp_relevance,50.0,25.0,75.0,,2025-12-29T17:15:13
Water Treatment and Child Mortality: A Meta-analysis and Cost-effectiveness Analysis,Evaluator 2,journal_predict,3.7,3.2,4.2,,2025-12-29T17:15:13
Water Treatment and Child Mortality: A Meta-analysis and Cost-effectiveness Analysis,Evaluator 2,logic_comms,95.0,90.0,100.0,,2025-12-29T17:15:13
Water Treatment and Child Mortality: A Meta-analysis and Cost-effectiveness Analysis,Evaluator 2,merits_journal,3.7,3.2,4.2,,2025-12-29T17:15:13
Water Treatment and Child Mortality: A Meta-analysis and Cost-effectiveness Analysis,Evaluator 2,methods,75.0,65.0,85.0,,2025-12-29T17:15:13
Water Treatment and Child Mortality: A Meta-analysis and Cost-effectiveness Analysis,Evaluator 2,open_sci,90.0,80.0,100.0,,2025-12-29T17:15:13
Water Treatment and Child Mortality: A Meta-analysis and Cost-effectiveness Analysis,Evaluator 2,overall,85.0,75.0,95.0,,2025-12-29T17:15:13
Water Treatment and Child Mortality: A Meta-analysis and Cost-effectiveness Analysis,Evaluator 2,real_world,50.0,25.0,75.0,,2025-12-29T17:15:13
Water Treatment and Child Mortality: A Meta-analysis and Cost-effectiveness Analysis,Hugh Sharma Waddington and Edoardo Masset,adv_knowledge,80.0,70.0,90.0,,2025-12-29T17:15:13
Water Treatment and Child Mortality: A Meta-analysis and Cost-effectiveness Analysis,Hugh Sharma Waddington and Edoardo Masset,gp_relevance,20.0,0.0,40.0,,2025-12-29T17:15:13
Water Treatment and Child Mortality: A Meta-analysis and Cost-effectiveness Analysis,Hugh Sharma Waddington and Edoardo Masset,journal_predict,3.5,2.0,5.0,,2025-12-29T17:15:13
Water Treatment and Child Mortality: A Meta-analysis and Cost-effectiveness Analysis,Hugh Sharma Waddington and Edoardo Masset,logic_comms,50.0,30.0,70.0,,2025-12-29T17:15:13
Water Treatment and Child Mortality: A Meta-analysis and Cost-effectiveness Analysis,Hugh Sharma Waddington and Edoardo Masset,merits_journal,2.5,2.0,3.0,,2025-12-29T17:15:13
Water Treatment and Child Mortality: A Meta-analysis and Cost-effectiveness Analysis,Hugh Sharma Waddington and Edoardo Masset,methods,50.0,40.0,60.0,,2025-12-29T17:15:13
Water Treatment and Child Mortality: A Meta-analysis and Cost-effectiveness Analysis,Hugh Sharma Waddington and Edoardo Masset,open_sci,50.0,20.0,70.0,,2025-12-29T17:15:13
Water Treatment and Child Mortality: A Meta-analysis and Cost-effectiveness Analysis,Hugh Sharma Waddington and Edoardo Masset,overall,50.0,40.0,60.0,,2025-12-29T17:15:13
Water Treatment and Child Mortality: A Meta-analysis and Cost-effectiveness Analysis,Hugh Sharma Waddington and Edoardo Masset,real_world,20.0,0.0,40.0,,2025-12-29T17:15:13
"When do ""Nudges"" Increase Welfare?",Evaluator 1,adv_knowledge,15.0,10.0,20.0,,2025-12-29T17:15:13
"When do ""Nudges"" Increase Welfare?",Evaluator 1,logic_comms,85.0,75.0,90.0,,2025-12-29T17:15:13
"When do ""Nudges"" Increase Welfare?",Evaluator 1,methods,80.0,50.0,90.0,,2025-12-29T17:15:13
"When do ""Nudges"" Increase Welfare?",Evaluator 1,open_sci,95.0,90.0,100.0,,2025-12-29T17:15:13
"When do ""Nudges"" Increase Welfare?",Evaluator 1,overall,85.0,70.0,95.0,,2025-12-29T17:15:13
"Yellow Vests, Pessimistic Beliefs, and Carbon Tax Aversion",yes,claims,90.0,,,,2025-12-29T17:15:13
"Yellow Vests, Pessimistic Beliefs, and Carbon Tax Aversion",yes,merits_journal,5.0,,,,2025-12-29T17:15:13
"Yellow Vests, Pessimistic Beliefs, and Carbon Tax Aversion",yes,methods,93.0,,,,2025-12-29T17:15:13
"Yellow Vests, Pessimistic Beliefs, and Carbon Tax Aversion",yes,overall,85.0,,,,2025-12-29T17:15:13
